,Polling Firm,Commissioner,Date,Sample Size,Coalition of the Left,New Democracy,People’s Association / Golden Dawn,Movement for Change,Communist Party of Greece,The River,Independent Greeks,Union of Centrists,Popular Unity,Course of Freedom,Greek Solution,European Realistic Disobedience Front,Others
57,Metron Analysis,Mega TV,2022-05-23,1300,25.7,36.1,,15.0,6.3,,,,,,5.2,3.7,
58,Marc,ANT1,2022-05-22,1037,25.5,37.0,,15.3,6.6,,,,,,5.3,3.2,
59,GPO,Τα Νέα,2022-05-18,1000,27.2,37.6,,13.8,6.3,,,,,,5.2,2.7,
60,MRB,Newsbomb,2022-05-18,1004,26.1,35.0,,14.2,5.8,,,,,,5.5,3.6,
61,Opinion Poll,tomanifesto.gr,2022-05-13,1001,25.6,36.7,,14.9,5.5,,,,,1.6,6.3,3.1,
62,Pulse RC,ΣΚΑΪ,2022-05-11,1206,26.4,35.4,,15.7,5.6,,,,,,4.5,3.4,
63,Marc,Πρώτο ΘΕΜΑ,2022-05-11,1014,25.1,36.9,,15.5,6.4,,,,,,5.1,3.5,
64,Interview,Politic.gr,2022-05-09,1485,25.0,34.9,,14.1,6.0,,,,,,6.2,3.8,
65,GPO,Powergame.gr,2022-05-07,1200,26.7,36.1,,14.8,6.9,,,,,,5.4,2.8,
66,Alco,Open TV,2022-04-30,1000,26.1,35.5,,15.1,7.0,,,,,1.2,5.7,3.5,
67,DATA RC,Πελοπόννησος & Dnews,2022-04-15,1026,28.9,36.0,,15.0,6.0,,,,,,4.5,2.0,
68,Prorata,Η Εφημερίδα των Συντακτών,2022-04-11,1236,29.0,35.5,,14.2,5.9,,,,,,4.1,2.4,
69,Interview,Politic.gr,2022-04-05,1410,24.3,34.2,,16.1,7.2,,,,,,5.6,3.4,
70,Opinion Poll,Mononews,2022-04-01,1001,25.9,36.8,,15.4,5.1,,,,,,5.7,3.5,
71,Pulse RC,ΣΚΑΪ,2022-03-29,1207,26.3,35.4,,15.4,6.3,,,,,,4.6,2.9,
72,Alco,Open TV,2022-03-26,1000,25.9,36.2,,15.1,6.8,,,,,1.3,5.2,3.3,
73,MRB,Newsbomb,2022-03-26,1000,25.9,34.9,,16.4,5.5,,,,,,6.0,3.8,
74,Metron Analysis,Mega TV,2022-03-21,1304,24.6,34.2,,16.7,6.3,,,,,,5.9,4.4,
75,Marc,ANT1,2022-03-21,1070,24.9,35.6,,16.2,6.4,,,,,,5.4,3.4,
76,Prorata,Η Εφημερίδα των Συντακτών,2022-03-14,1000,28.4,36.7,,14.8,5.9,,,,,,4.1,2.3,
77,GPO,Powergame.gr,2022-03-11,1000,26.3,37.6,,16.3,6.5,,,,,,4.9,2.7,
78,Marc,Πρώτο ΘΕΜΑ,2022-03-10,1026,24.3,37.3,,16.6,6.7,,,,,,5.4,2.8,
79,Abacus Research,Alpha TV,2022-03-08,1026,23.5,34.5,,16.5,5.8,,,,,,4.5,2.8,
80,Interview,Politic.gr,2022-03-06,1405,23.4,36.5,,17.4,5.6,,,,,,5.3,3.5,
81,Pulse RC,ΣΚΑΪ,2022-02-28,1205,26.0,36.2,,15.8,5.6,,,,,,4.5,3.4,
82,Alco,Open TV,2022-02-18,1000,26.1,37.3,,16.6,6.1,,,,,1.3,4.2,3.5,
83,Interview,Politic.gr,2022-02-14,1406,24.3,36.8,,16.3,5.7,,,,,,5.6,3.3,
84,Marc,ANT1,2022-02-12,1037,24.9,37.3,,17.3,6.2,,,,,,5.4,3.0,
85,Opinion Poll,tomanifesto.gr,2022-02-12,1251,24.2,38.5,,17.5,5.8,,,,,,4.9,3.2,
86,GPO,Powergame.gr,2022-02-03,1000,25.5,36.2,,16.7,7.2,,,,,,4.5,3.5,
87,Prorata,Η Εφημερίδα των Συντακτών,2022-01-31,1000,28.9,37.0,,15.0,5.8,,,,,,4.0,2.3,
88,Pulse RC,ΣΚΑΪ,2022-01-29,1308,25.0,35.2,,15.9,6.3,,,,,,5.1,2.8,
89,Abacus Research,Alpha TV,2022-01-23,1012,21.3,39.0,,20.7,6.1,,,,,,2.4,2.4,
90,Marc,ANT1,2022-01-22,1002,23.7,38.2,,17.4,5.9,,,,,,5.4,2.8,
91,Metron Analysis,Mega TV,2022-01-18,1306,24.3,36.1,,18.6,5.5,,,,,,5.1,4.1,
92,Prorata,iEidiseis,2022-01-16,1000,29.3,37.4,,13.8,5.2,,,,,,4.0,2.3,
93,Interview,Politic.gr,2022-01-12,1414,25.5,37.9,,14.0,5.3,,,,,,5.1,3.7,
94,Alco,Open TV,2021-12-18,1000,24.2,37.3,2.5,15.6,6.2,,,,,1.3,4.2,4.0,
95,GPO,Powergame.gr,2021-12-17,1000,25.4,38.0,,15.5,6.5,,,,,,4.5,3.4,
96,Marc,Πρώτο ΘΕΜΑ,2021-12-16,1010,22.4,38.5,,17.7,6.2,,,,,,5.4,2.5,
97,Prorata,Η Εφημερίδα των Συντακτών,2021-12-15,1885,28.7,37.9,,12.6,5.2,,,,,,4.0,2.3,
98,Interview,Politic.gr,2021-12-15,1365,26.8,38.1,,13.9,5.0,,,,,,5.5,3.6,
99,MRB,,2021-12-14,1000,24.4,37.9,,16.7,5.1,,,,,,4.7,3.3,
100,Κάπα Research,,2021-12-14,1003,27.3,39.3,,13.5,7.0,,,,,,4.3,3.5,
101,MRB,,2021-12-10,1500,25.9,38.2,,12.8,5.6,,,,,,4.8,3.7,
102,GPO,Παραπολιτικά,2021-11-25,1000,27.8,40.4,,11.1,6.4,,,,,,4.1,3.5,
103,Pulse RC,ΣΚΑΪ,2021-11-25,4012,26.6,38.2,,11.0,6.4,,,,,,4.6,3.5,
104,Metron Analysis,Mega TV,2021-11-23,1503,24.8,40.0,,12.8,6.5,,,,,,5.6,4.4,
105,Alco,Open TV,2021-11-20,1000,27.1,38.3,1.9,11.1,6.4,,,,,1.8,4.9,3.6,
106,Marc,Πρώτο ΘΕΜΑ,2021-11-18,1003,26.7,41.3,,11.1,6.9,,,,,,5.5,3.8,
107,MRB,Star,2021-11-17,3281,26.6,38.2,1.2,11.0,6.0,,,,,,5.1,4.4,
108,Marc,ANT1,2021-11-13,1003,26.6,42.1,,10.2,7.2,,,,,,5.3,3.6,
109,Metron Analysis,Το Βήμα,2021-11-09,2511,24.1,36.9,1.6,12.9,6.7,,,,,,5.7,5.3,
110,Interview,Politic.gr,2021-11-08,1734,26.3,40.0,,10.3,6.1,,,,,,5.9,3.4,
111,GPO,Powergame.gr,2021-10-29,1000,28.7,41.6,,8.3,6.8,,,,,,4.1,3.4,
112,Pulse RC,ΣΚΑΪ,2021-10-25,1907,27.3,40.1,,9.3,5.8,,,,,,4.1,3.5,
113,Opinion Poll,Mononews,2021-10-19,1005,27.3,43.7,,7.5,6.5,,,,,1.5,5.0,2.8,
114,Alco,Open TV,2021-10-16,1000,28.3,39.7,,7.3,6.0,,,,,1.8,5.0,4.6,
115,Interview,Political,2021-10-14,1115,25.3,40.0,,7.9,6.2,,,,,1.8,5.4,4.4,
116,Prorata,Η Εφημερίδα των Συντακτών,2021-10-12,1131,31.1,40.7,,7.8,5.4,,,,,,3.6,2.4,
117,Marc,ANT1,2021-10-11,1007,27.1,42.8,,7.7,6.9,,,,,,5.4,3.3,
118,Interview,Politic.gr,2021-09-30,1105,27.2,39.9,,8.0,5.6,,,,,,4.8,4.4,
119,Metron Analysis,Mega TV,2021-09-27,1200,26.2,41.0,,8.0,6.8,,,,,,5.3,5.5,
120,GPO,Powergame.gr,2021-09-24,1000,29.3,41.3,,7.0,7.3,,,,,,4.0,3.4,
121,Marc,Πρώτο ΘΕΜΑ,2021-09-23,1029,28.2,42.2,,7.4,6.6,,,,,,5.5,3.6,
122,MRB,Star,2021-09-21,1000,28.6,40.6,1.2,8.1,5.9,,,,,1.3,4.6,4.2,
123,Pulse RC,ΣΚΑΪ,2021-09-21,2018,27.6,39.7,,7.5,6.9,,,,,,5.2,3.4,
124,GPO,Παραπολιτικά,2021-09-15,1000,29.0,41.3,,7.5,6.8,,,,,,4.2,3.5,
125,Alco,Open TV,2021-09-17,1000,27.4,39.1,1.4,8.0,6.5,,,,,1.8,5.3,3.5,
126,MRB,Star,2021-09-15,1000,28.4,41.4,,8.4,6.3,,,,,,4.4,3.6,
127,Opinion Poll,Political,2021-09-07,1002,26.9,44.6,,7.9,7.0,,,,,,4.5,4.1,
128,Interview,Politic.gr,2021-08-27,1325,25.4,39.7,,7.0,6.0,,,,,,5.1,4.3,
129,GPO,Τα Νέα,2021-08-25,1000,28.4,40.2,,7.5,7.0,,,,,,4.8,3.5,
130,Prorata,iEidiseis,2021-08-24,1800,30.3,40.0,,7.9,5.5,,,,,,4.2,2.4,
131,Alco,Open TV,2021-07-17,1000,27.2,41.7,,7.9,6.2,,,,,1.8,5.2,4.1,
132,Prorata,,2021-07-11,1735,29.3,41.3,,8.4,4.8,,,,,,3.6,3.0,
133,GPO,Powergame.gr,2021-07-10,1000,28.5,42.8,,7.7,6.9,,,,,,4.3,3.6,
134,Opinion Poll,tomanifesto.gr,2021-07-07,1002,25.8,46.4,,8.0,7.0,,,,,,4.3,3.8,
135,Pulse RC,ΣΚΑΪ,2021-07-07,2611,26.4,41.4,,7.5,6.9,,,,,,5.2,4.0,
136,MRB,,2021-07-01,2000,28.3,43.6,1.4,8.4,6.2,,,,,,4.2,3.6,
137,GPO,Τα Νέα,2021-06-29,1000,28.4,42.9,,7.9,7.1,,,,,,4.8,3.5,
138,Marc,Πρώτο ΘΕΜΑ,2021-06-24,1000,25.8,45.7,,7.8,6.7,,,,,,4.3,3.6,
139,Interview,Βεργίνα TV,2021-06-23,1211,25.2,42.0,,8.0,6.5,,,,,,5.2,3.9,
140,Alco,Open TV,2021-06-19,1000,28.1,43.2,,8.0,6.4,,,,,1.8,4.7,3.9,
141,GPO,Powergame.gr,2021-06-05,1000,27.8,42.6,,8.2,7.2,,,,,,4.1,4.1,
142,Pulse RC,ΣΚΑΪ,2021-06-02,1304,27.0,41.9,,7.5,6.3,,,,,,4.6,4.0,
143,Opinion Poll,,2021-05-28,1605,24.8,46.6,,8.4,6.6,,,,,,5.2,3.9,
144,Metron Analysis,Mega TV,2021-05-24,1202,25.5,43.1,,7.6,6.7,,,,,,5.1,6.0,
145,Alco,Open TV,2021-05-21,1000,27.9,43.3,,7.9,6.0,,,,,1.3,4.7,3.4,
146,Interview,Βεργίνα TV,2021-05-17,1405,24.4,42.0,,8.1,6.4,,,,,,5.8,4.2,
147,GPO,Powergame.gr,2021-05-07,1005,27.3,43.4,,8.5,7.2,,,,,,4.6,3.8,
148,Marc,Πρώτο ΘΕΜΑ,2021-04-27,1025,25.8,44.7,,8.4,6.6,,,,,,5.3,3.6,
149,Pulse RC,ΣΚΑΪ,2021-04-25,1305,27.5,42.1,,7.6,6.4,,,,,,4.6,3.5,
150,Opinion Poll,,2021-04-23,1001,26.1,46.7,,8.0,5.9,,,,,,5.2,3.5,
151,Interview,Politic.gr,2021-04-22,1205,25.5,42.3,,7.7,6.5,,,,,,5.5,4.2,
152,Interview,Βεργίνα TV,2021-04-19,1115,25.3,42.3,,7.7,6.4,,,,,,5.9,3.9,
153,Alco,Open TV,2021-04-16,1000,27.6,43.3,,6.8,6.5,,,,,1.6,4.9,3.4,
154,GPO,Powergame.gr,2021-04-09,1000,27.8,42.5,,8.3,7.6,,,,,,4.7,4.0,
155,Prorata,Η Εφημερίδα των Συντακτών,2021-04-06,1000,30.2,41.5,,7.5,5.7,,,,,,3.8,3.8,
156,Pulse RC,ΣΚΑΪ,2021-03-28,1306,28.2,41.1,,7.6,5.9,,,,,,5.3,3.5,
157,Metron Analysis,Mega TV,2021-03-22,1205,27.5,43.4,,8.1,5.9,,,,,,5.8,4.6,
158,Marc,Alpha TV,2021-03-22,1003,25.7,45.2,,8.1,6.5,,,,,,5.3,3.5,
159,Interview,Βεργίνα TV,2021-03-22,1105,25.4,42.7,,7.5,5.0,,,,,,5.9,4.0,
160,Alco,Open TV,2021-03-17,1000,26.7,42.8,,7.0,6.9,,,,,1.7,4.9,3.3,
161,GPO,Powergame.gr,2021-03-05,1000,27.2,43.2,,8.5,7.5,,,,,,4.9,3.6,
162,GPO,Τα Νέα,2021-03-03,1000,27.2,43.5,,8.5,7.5,,,,,,4.9,3.6,
163,MRB,Star,2021-03-03,1000,28.4,45.0,,7.2,5.8,,,,,,5.7,4.4,
164,Pulse RC,ΣΚΑΪ,2021-02-28,1306,25.7,42.1,,8.2,6.4,,,,,,5.2,3.6,
165,Opinion Poll,Political,2021-02-26,1001,25.1,46.4,,8.4,6.6,,,,,,5.2,3.6,
166,Prorata,Η Εφημερίδα των Συντακτών,2021-02-22,1000,30.3,41.8,,7.0,5.7,,,,,,3.2,4.4,
167,Opinion Poll,,2021-02-19,1003,25.1,46.3,,8.8,6.6,,,,,,5.5,3.8,
168,Alco,Open TV,2021-02-18,1000,26.7,43.2,,7.5,6.3,,,,,1.5,5.2,3.4,
169,Interview,Βεργίνα TV,2021-02-17,1205,23.5,43.2,,9.1,6.0,,,,,,5.7,3.9,
170,Pulse RC,ΣΚΑΪ,2021-01-27,1706,25.4,42.8,,8.1,6.9,,,,,,5.2,3.5,
171,Metron Analysis,Mega TV,2021-01-25,1200,25.3,46.3,,8.2,7.3,,,,,,4.6,3.1,
172,GPO,Παραπολιτικά,2021-01-20,1000,27.6,44.1,,7.3,7.2,,,,,,4.7,3.6,
173,Alco,Open TV,2021-01-19,1000,27.1,44.2,,6.7,6.5,,,,,1.5,4.6,3.1,
174,Marc,Αlpha TV,2021-01-11,1010,25.0,48.3,,8.1,6.3,,,,,,4.8,2.5,
175,Opinion Poll,Political,2021-01-08,1004,26.5,47.8,,8.1,6.3,,,,,,4.0,3.3,
176,Pulse RC,ΣΚΑΪ,2020-12-16,2418,26.6,43.9,,7.5,6.4,,,,,,4.6,2.9,
177,MRB,Star,2020-12-11,2000,27.2,44.9,1.2,7.9,5.9,,,,,,4.8,3.7,
178,Alco,Open TV,2020-12-09,1000,26.2,44.1,,8.0,6.5,,,,,1.7,4.9,3.5,
179,Interview,Political,2020-12-07,1205,24.7,44.8,,8.0,5.5,,,,,,5.5,3.2,
180,Interview,Βεργίνα TV,2020-12-02,1100,25.4,45.2,,8.0,5.4,,,,,,5.9,3.1,
181,Prorata,,2020-11-27,2726,29.4,44.2,,6.1,5.5,,,,,,3.7,3.7,
182,Pulse RC,ΣΚΑΪ,2020-11-26,1312,25.5,44.0,,7.5,6.5,,,,,,6.0,3.5,
183,MRB,Star,2020-11-24,1004,27.1,47.0,,7.1,5.6,,,,,,5.3,3.4,
184,Κάπα Research,,2020-11-19,1054,28.6,45.7,,7.3,6.2,,,,,,4.2,3.4,
185,Metron Analysis,MEGA TV,2020-11-24,1205,24.8,45.8,,8.0,6.3,,,1.4,,,5.5,3.8,
186,Opinion Poll,,2020-11-11,1000,24.4,48.6,,8.4,6.5,,,,,,4.0,3.6,
187,GPO,Παραπολιτικά,2020-11-13,1000,28.9,44.5,,7.6,6.5,,,,,,4.3,2.5,
188,Alco,Open TV,2020-11-11,1000,25.9,43.4,1.3,8.3,6.7,,,,,1.3,3.6,3.5,
189,GPO,Action24,2020-10-28,1000,28.1,45.6,,8.3,6.3,,,,,,3.7,3.1,
190,Pulse RC,ΣΚΑΪ,2020-10-22,1000,25.5,45.1,,7.6,6.5,,,,,,4.9,3.3,
191,Interview,Βεργίνα TV,2020-10-21,1184,22.1,45.5,,8.4,5.8,,,,,,5.2,3.5,
192,Opinion Poll,,2020-10-15,1000,23.8,49.9,,8.8,6.8,,,,,,4.2,3.7,
193,Marc,Αlpha TV,2020-10-14,1007,24.3,48.9,,8.1,6.6,,,,,,4.1,3.1,
194,Alco,Open TV,2020-10-10,1000,25.8,43.1,2.2,7.5,6.0,,,,,1.4,4.8,4.2,
195,Metron Analysis,MEGA TV,2020-09-29,1202,25.5,47.9,,6.9,5.9,,,,,,5.7,3.4,
196,Pulse RC,ΣΚΑΪ,2020-09-23,1305,26.4,45.4,,7.5,6.3,,,,,,4.6,2.9,
197,MRB,Star,2020-09-23,1009,25.8,48.0,,6.2,5.8,,,,,,5.0,3.6,
198,Interview,Βεργίνα TV,2020-09-23,1112,22.9,45.4,,8.6,5.3,,,,,,5.2,3.4,
199,GPO,Παραπολιτικά,2020-09-16,1000,26.8,46.6,,8.1,6.6,,,,,,3.9,3.1,
200,Alco,Open TV,2020-09-16,1000,25.2,44.4,,7.8,6.1,,,,,1.7,5.2,3.4,
201,Marc,Πρώτο ΘΕΜΑ,2020-09-12,1527,24.6,49.9,,8.0,6.3,,,,,,3.7,1.9,
202,Opinion Poll,,2020-09-10,1002,24.7,51.1,,7.4,6.3,,,,,,3.8,2.8,
203,GPO,Τα Νέα,2020-09-02,1000,26.7,46.9,,8.3,6.2,,,,,,4.2,3.0,
204,Interview,Βεργίνα TV,2020-07-15,1112,24.1,47.4,,7.4,5.2,,,,,,5.2,4.0,
205,Marc,Αlpha TV,2020-07-13,1020,24.6,50.1,1.2,6.9,6.0,,,,,,4.1,2.3,
206,Pulse RC,ΣΚΑΪ,2020-07-08,1305,26.0,46.5,1.0,7.0,6.0,,,,,,4.0,3.0,
207,Alco,Open TV,2020-07-04,1000,27.7,46.1,,6.9,6.0,,,,,1.3,3.7,3.5,
208,Opinion Poll,,2020-07-03,1100,24.7,49.1,1.4,6.9,6.0,,,,,1.4,4.2,3.0,
209,Κάπα Research,,2020-07-02,1000,27.0,47.3,1.7,6.5,5.2,,,,,,3.8,3.1,
210,Marc,,2020-07-02,2000,25.5,52.2,,7.0,6.0,,,,,,4.4,2.5,
211,Metron Analysis,Το Βήμα,2020-06-29,1388,25.8,50.4,,7.0,7.6,,,,,,3.9,4.0,
212,Prorata,,2020-06-26,2200,28.5,46.0,1.0,6.0,5.0,,,,,,3.5,3.0,
213,GPO,Τα Νέα,2020-06-26,1500,26.0,49.0,,7.0,6.5,,,,,,5.0,3.0,
214,MRB,Star,2020-06-25,2200,25.2,46.2,1.7,7.6,6.0,,,,,,4.4,3.2,
215,Interview,Βεργίνα TV,2020-06-09,1100,23.6,47.1,,7.7,5.0,,,,,,5.2,3.7,
216,Alco,Open TV,2020-06-08,1000,26.8,46.1,1.6,7.4,6.1,,,,,1.2,4.2,3.0,
217,Opinion Poll,paraskhnio.gr,2020-06-03,1060,24.3,50.9,2.5,6.4,5.9,,,,,,4.4,3.3,
218,Pulse RC,ΣΚΑΪ,2020-06-03,1208,26.0,48.0,,6.5,5.5,,,,,,4.0,3.5,
219,GPO,Παραπολιτικά,2020-05-27,1000,24.1,50.2,,7.2,6.5,,,,,,4.8,3.0,
220,Metron Analysis,MEGA TV,2020-05-27,1201,25.7,49.6,2.0,6.3,5.7,,,,,,3.2,3.1,
221,MRB,Star,2020-05-13,1228,25.2,49.7,,6.2,5.3,,,,,,4.8,3.7,
222,Alco,Open TV,2020-05-10,1000,26.1,46.2,2.8,6.8,6.4,,,,,1.5,4.4,2.5,
223,Opinion Poll,,2020-05-09,1080,25.1,50.4,1.4,5.6,6.3,,,,,,5.0,3.8,
224,Pulse RC,ΣΚΑΪ,2020-05-06,1207,25.0,48.0,1.5,7.0,6.0,,,,,,4.5,3.0,
225,Interview,Βεργίνα TV,2020-05-06,1105,23.1,49.0,,7.4,5.3,,,,,,5.2,3.4,
226,Prorata,,2020-04-29,2500,28.0,46.0,2.0,6.0,6.0,,,,,,5.0,3.0,
227,Metron Analysis,MEGA TV,2020-04-28,1204,25.4,50.4,1.8,5.9,5.6,,,,,,3.4,3.8,
228,GPO,Παραπολιτικά,2020-04-22,1000,25.8,49.8,,7.3,5.5,,,,,,4.9,3.0,
229,Κάπα Research,ΕΘΝΟΣ,2020-04-17,1060,27.3,49.0,2.4,5.9,5.1,,,,,,3.8,3.3,
230,Marc,Alpha TV,2020-04-13,1020,24.5,52.7,1.8,6.5,5.8,,,,,,3.7,2.4,
231,Pulse RC,ΣΚΑΪ,2020-04-01,1250,24.5,50.0,1.0,6.0,5.5,,,,,,5.0,3.0,
232,Opinion Poll,Πρώτο ΘΕΜΑ,2020-03-26,1095,25.5,50.5,,6.3,6.9,,,,,,5.7,2.5,
233,Opinion Poll,Πρώτο ΘΕΜΑ,2020-03-07,1200,26.1,48.7,,5.7,6.3,,,,,,5.7,3.4,
234,Alco,Open TV,2020-03-07,1000,28.1,43.9,3.6,7.2,6.6,,,,,1.5,6.2,2.7,
235,Pulse RC,ΣΚΑΪ,2020-03-04,1258,28.0,43.5,1.5,7.5,5.5,,,,,,6.0,3.0,
236,Opinion Poll,,2020-01-27,1098,26.7,48.0,,6.3,5.8,,,,,,5.4,3.4,
237,Metron Analysis,Το Βήμα,2020-01-22,1203,26.8,45.2,,7.1,6.1,,,,,,5.8,4.9,
238,Pulse RC,ΣΚΑΪ,2020-01-22,1210,29.0,43.0,1.5,7.5,5.5,,,,,,5.0,3.5,
239,MRB,Star,2020-01-17,1436,26.4,43.5,1.7,7.5,6.2,,,,,,5.3,4.1,
240,Interview,Βεργίνα TV,2020-01-08,1005,28.1,45.8,,5.4,5.4,,,,,,4.7,3.5,
241,Pulse RC,ΣΚΑΪ,2019-12-18,1202,28.0,42.5,2.5,7.5,6.0,,,,,,5.0,3.5,
